Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Johann Christian Buxbaum (Buxbaum Johann Christian)	5	10	1693	7	7	1730	Naturalist, botanist, explorer	http://www.isaran.ru/?q=ru/persostav	_____ ______ __________	14.05.1931	19.11.2005	__________ _ _______ ______ _________ _ __________ ___________ _________
Byulfinger (Bilfinger) Georg Bernhard (Bulfinger Georg Bernhard)	23	1	1693	18	2	1750	Mathematician, physicist and philosopher	http://www.isaran.ru/?q=ru/persostav	_____ _______ ____________	30.06.1903	10.09.1983	_____, __________ _ _______ ________________
Bayer Gottlieb Siegfried or Theophilus (Bayer Gottlieb Siegfried)	6	1	1694	10	2	1738	Philologist, historian-orientalist	http://www.isaran.ru/?q=ru/persostav	____ _____ __________	12.03.1929		__________ _ _______ ____________ ___________
Vinsgeym Christian background Nicola (Winsheim Christian Nicolas von)	16	4	1694	4	3	1751	Astronomer	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	12.11.1905	14.10.1993	__________ _ _______ __________ _____________ ________ __________
Voltaire (Arouet) Francois-Marie de	21	11	1694	30	5	1778	Writer and philosopher	http://www.isaran.ru/?q=ru/persostav	________ (________) _______ ___________	15.03.1709	05.11.1780	_________
Reimarus Samuel (Samuel Herman)	22	12	1694	1	3	1768	Philologist and orientalist Hebraist	http://www.isaran.ru/?q=ru/persostav	______ ___-_______ (Jacques Salomon Hadamard)	08.12.1865	17.10.1963	_________, __________ _ _______ _____________ ________
Shepflin Johann Daniel	6	12	1694	7	8	1771	Historian and archaeologist	http://www.isaran.ru/?q=ru/persostav	_____ ____ _______ (John Bertram Adams)	24.05.1920	03.03.1984	__________ _ _______ ______ _ _______ ___________, ______ ______, ________ _______, ______ _______ _______
Nicholas Bernoulli (II) (Nicola) (Bernoulli Nicolas II)	5	2	1695	29	7	1726	Mathematician, philosopher, lawyer	http://www.isaran.ru/?q=ru/persostav	_____ ____ ___ (____ ___ ___) (John Couch Adams)	05.06.1819	21.01.1892	________
Hermann Carl von Keyserling	1	7	1696	30	9	1765	Diplomat	http://www.isaran.ru/?q=ru/persostav	"_______ _____ ________ (_______ ___ _______); (Friedrich von Adelung)"	25.02.1768	18.01.1843	_______, ________, ________, __________
Albinus (Weiss) Bernard Siegfried	24	2	1697	9	9	1770	Anatomist	http://www.isaran.ru/?q=ru/persostav	_________ (1-_) ________ _________, ____	11.11.1790	08.03.1884	_______________ _______
Anvil Jean-Baptiste Bourguignon, de (Fr. Jean Baptiste Bourguignon d'Anville)	11	7	1697	28	1	1782	Geographer	http://www.isaran.ru/?q=ru/persostav	_________ (2-_) _________ ____________, ____	01.05.1818	04.10.1888	_______________ _ _______ _______
Korf Johann Albrecht von	30	11	1697	7	4	1766	Diplomat	http://www.isaran.ru/?q=ru/persostav	__________ ________ __________	19.08.1878	05.06.1945	_______, _______
Meyer (Meyer) Frederick Christopher (Mayer Friedrich Christoph)	9	10	1697	24	11	1729	Mathematician, philosopher	http://www.isaran.ru/?q=ru/persostav	________ ______ ____________	02.01.1964		__________ _ _______ _____________ __________ _ ___________ ______________ ________, ___________ ________ ______________ ____________.
Macclesfield (then Lord Parker), George Charles, Earl	16	1	1697	17	3	1764	Mathematician and astronomer	http://www.isaran.ru/?q=ru/persostav	_________-______ _______ ________	12.05.1888	06.06.1972	_____________
Monthian-and-Luyando Don Agustin	28	2	1697	1	11	1764	Writer and statesman	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	10.09.1932		__________ _ _______ _________________ _________, ___________
Moran Sauveur Francois	2	4	1697	21	7	1773	Surgeon	http://www.isaran.ru/?q=ru/persostav	____ ______ ________	01.01.1931		__________ _ _______ ______________ ______, ______ __________ _ __ __________ _ _______
Johann Eberhard Fischer (Fischer Johann Eberhard)	10	1	1697	13	9	1771	Philologist	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	25.03.1931		__________ _ _______ __________ _____.
Johann Georg Bock	12	5	1698	7	7	1762	Litterateur	http://www.isaran.ru/?q=ru/persostav	____ (_____) ____ ______ (Eysel Ulf Theodor)	03.11.1944		_____________, __________ _ _______ _______________ ______
Peter Kohl (Johann Peter) (Kohl Johann Peter)	10	3	1698	9	10	1778	Writer and church historian	http://www.isaran.ru/?q=ru/persostav	_____ _________ ____ (Francisco Jose Ayala)	12.03.1934		__________ _ _______ _____ ________, ________ _ ______ ________
Moreau de Maupertuis, Pierre-Louis	17	7	1698	27	7	1759	Physicist, astronomer and surveyor	http://www.isaran.ru/?q=ru/persostav	_______ _______ _________	20.02.1862	12.12.1939	_______ _________
Merling Georg	15	7	1698	7	9	1741	Historian, geographer	http://www.isaran.ru/?q=ru/persostav	_______ ____	20.10.1900	03.11.1992	_____-_______, ________
George Merling (Moerling or Morling Georg)	1	7	1698	7	9	1741	Historian, geographer	http://www.isaran.ru/?q=ru/persostav	_____ _____ _______	10.11.1944		__________ _ _______ _________ ___________, __________ _ __________ _________ __________
Pontoppidan (Jr.), Eric Ludwig	24	8	1698	20	12	1764	Theologian	http://www.isaran.ru/?q=ru/persostav	____ ______ _________	14.03.1929	13.09.2010	__________ _ _______ ___________ __________, _________ ___________ _________ _ ____________
Louis Leroy Peter (Pierre-Louis) (Le Roy Pierre-Louis)	15	10	1699	6	7	1774	Historian	http://www.isaran.ru/?q=ru/persostav	______ _______ ____________	23.04.1901	23.01.1953	___________, __________ _ _______ ___________
Christian Martini (Martini Christian)	1	7	1699	1	8	1739	Physicist and philosopher	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	20.09.1791	30.04.1859	________
Sanchez (Sanshes) António Nunes Ribeiro	7	3	1699	24	10	1782	Medic	http://www.isaran.ru/?q=ru/persostav	_______ ______ _________	20.06.1947		__________ _ _______ ___________ ____________ ____- _ _________ _ ______________ __________ _________ _ ______________ _________
Daniel Bernoulli (Bernoulli Daniel)	9	2	1700	17	3	1782	Mathematician	http://www.isaran.ru/?q=ru/persostav	_________ _______ _____________	18.11.1910	26.02.1989	_____
Gerard van Swieten, Baron	7	5	1700	18	6	1772	Physician, physicist	http://www.isaran.ru/?q=ru/persostav	________ ______ ___________	31.01.1939		__________ _ _______ ________ ____________ ____ _ ___________ ________ _________
Johann Christian Wilde (Wilde Johann Christian)	1	7	1700	1	8	1760	Anatomist	http://www.isaran.ru/?q=ru/persostav	_______ _____ ____________	02.04.1946		____ - ____________
Duhamel du Monceau Henri-Louis	1	7	1700	23	8	1782	Physiologist, naturalist	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	02.03.1953		__________ _ _______ ________ ________, ______________ ____________ _ ___________ __________, ____________ __________ ___________, ___________ __________
Kleynfeld Martin (Kleinfeld Martin)	1	7	1700	29	1	1761	Anatomist, physiologist	http://www.isaran.ru/?q=ru/persostav	______ ____ _____________	23.08.1908	02.10.1995	__________ _ _______ ____________ _______ ___
Wilhelm Lagus (Lagus Wilhelm)	1	7	1700	16	6	1785	Meteorologist	http://www.isaran.ru/?q=ru/persostav	___________ _________ _________	04.08.1912	27.07.1999	_________
Leka Claude-Nicolas	6	9	1700	20	8	1768	Surgeon	http://www.isaran.ru/?q=ru/persostav	___________ ________ ________	13.02.1903	03.02.1994	__________ _ _______ _______ ______ _ __________
Motonis Nikolai	1	7	1700	20	11	1787	Writer, translator	http://www.isaran.ru/?q=ru/persostav	___________ _____ ___________	18.08.1889	22.01.1973	__________ _ _______ _______ _______ _________ _ ____________
Pacheco (Pachcheko) Rafael	1	7	1700	31	8	1764	Mechanics, optics	http://www.isaran.ru/?q=ru/persostav	___________ _______ __________	07.01.1930	04.05.2008	__________ _ _______ ______ _________ _______ ___ __________ __________, ____________ _____________ ____________ ___________ ______________
Jakob Friedrich Schmidt	1	7	1700	5	1	1786	Geographer, cartographer	http://www.isaran.ru/?q=ru/persostav	___________ _______ _________	04.04.1908	21.07.1961	_______
Condamine Charles-Marie de la	28	1	1701	4	2	1774	Mathematician, surveyor, naturalist and explorer	http://www.isaran.ru/?q=ru/persostav	___________ _______ _________	13.04.1936		__________ _ _______ __________ ______ _ _________ ___________
Georg Wolfgang Kraft (Krafft Georg Wolfgang)	15	7	1701	18	7	1754	Mathematician, physicist	http://www.isaran.ru/?q=ru/persostav	___________ ____ __________	01.09.1875	02.05.1936	__________ _ _______ __________ _ ____________
Weitbrecht Josiah (Weitbrecht Iosias)	6	11	1702	8	2	1747	Physiologist	http://www.isaran.ru/?q=ru/persostav	___________ ______ _________	09.01.1931	10.07.2010	__________ _ _______ ______ __________
Zaluski Joseph Andrew (Andrew Joseph)	12	8	1702	7	1	1774	Bibliophile, bibliographer	http://www.isaran.ru/?q=ru/persostav	___________ ______ __________	26.05.1939		__________ _ _______ ________ _______________
Lotter Johann Georg (Lotter Johann Georg)	25	3	1702	1	4	1737	Philologist	http://www.isaran.ru/?q=ru/persostav	___________ _____ _________	07.05.1896	16.11.1982	_________
Haller von Gallershteyn Augustine (father Augustine)	18	8	1703	29	10	1774	Mathematician, astronomer	http://www.isaran.ru/?q=ru/persostav	________ _________ ___________	27.11.1891	16.05.1975	__________ _ _______ ______________
Mule Frederick (Frederick) (Moulak Frederic)	25	2	1703	26	12	1782	Mathematician	http://www.isaran.ru/?q=ru/persostav	________ ________ _________	12.10.1928	17.02.2007	__________ _ _______ _____________ _________, _______________ _____________ _____________ _______ _ _________ _________ __________
Trediakovskii Basil K.	22	2	1703	6	8	1769	Poet	http://www.isaran.ru/?q=ru/persostav	________ _______ ____________	17.10.1946		__________ _ _______ ________ ______ ______ _ _________ ____________ ________ ________ _ _________________ _____________, __________________ _________ ____, ________ ___________ _________, _________ _ __________ ________
Juncker Gottlob Friedrich Wilhelm (Juncker Gottlob Friedrich Wilhelm)	1	7	1703	10	11	1746	Poet	http://www.isaran.ru/?q=ru/persostav	________ _______ ________	22.08.1929	07.11.1991	__________ _ _______ _______ ____________ _ __________
Brevern Carl von	22	10	1704	21	10	1744	Diplomat	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	14.01.1881	12.05.1951	__________-________
Zegner Johann Andreas von	9	10	1704	5	10	1777	Mathematician, scientist and physician	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	03.07.1934		__________ _ _______ _______ _____________, _______________, ___________ _ ________________ ________ _________ _____ ______
Scrap Johann Heinrich van	20	12	1704	15	4	1763	Mathematician and philosopher	http://www.isaran.ru/?q=ru/persostav	________ __________ _________ (_________ _____________)	17.01.1863	07.08.1938	______, ________, ________ ____________ _________
Johann Gottfried Teske	3	5	1704	25	5	1772	Physicist	http://www.isaran.ru/?q=ru/persostav	________ ______ ________	05.06.1896	19.09.1981	_____________
Strube de Pyrmont (Pyrmont) Friedrich Heinrich (Strube de Piermont Friedrich Heinrich)	1	7	1704	1	8	1776	Jurisprudent	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	05.05.1827	03.03.1881	_________
Gaubius (Gaube) Jerome David	23	2	1705	29	11	1780	Medic	http://www.isaran.ru/?q=ru/persostav	________ ______ _________	28.07.1924	12.05.2013	__________ _ _______ __________ ____________ _____ _ _____ ______ _____
Herman Boerhaave Kaau-	27	9	1705	7	10	1753	Medic	http://www.isaran.ru/?q=ru/persostav	_________ _______ ________	07.12.1928	22.06.2007	__________ _ _______ __________ ____________ _ ________ ________
Krasil'nikov Andrei Dmitrievich	1	7	1705	15	2	1773	Astronomer, surveyor	http://www.isaran.ru/?q=ru/persostav	____________ _______ __________	23.05.1912	23.09.1993	__________ _ _______ ______ ______ __________, ______ ________ _ _________________
Miller (Muller) Fedor (Gerhard Friedrich) (Muller Gerard Friedrich)	29	10	1705	11	10	1783	Historian archaeographer	http://www.isaran.ru/?q=ru/persostav	__________ ______ ____________	30.05.1950		__________, __________ _ _______ _____________ _ _________ __________________ _ __________ _______, ________ ________ _ ____________ ______.
Popovich Johann Sigismund Valentin	9	2	1705	21	11	1774	Geographer and antiquarian	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	11.07.1923	15.06.2006	__________ _ _______ _______________
Johann Friedrich Schreiber	26	5	1705	28	1	1760	Physician, anatomist, physicist	http://www.isaran.ru/?q=ru/persostav	___________ ________ _________	03.06.1912	29.01.2006	__________ _ _______ _____ _______ _______
Adolf Bernhard Cramer (Cramer Adolf Bernhard)	28	3	1706	20	11	1734	Historian	http://www.isaran.ru/?q=ru/persostav	______ _____ _________	03.03.1955		__________ _ _______ ________ _______ ______________ ______, ___________ ________ ___ _ ____________ ___________
Benjamin Franklin (Benjamin)	17	1	1706	17	4	1790	Physicist	http://www.isaran.ru/?q=ru/persostav	______ _______ ________	10.08.1941		__________ _ _______ __________ ____________, _______________ ______ ___________
Johann Amman (Amman Johann)	22	12	1707	4	12	1741	Botanist, physician	http://www.isaran.ru/?q=ru/persostav	_____ _____ _____ ______ ____	08.04.1955		____-_______
Johannes Burman (Johannes)	26	4	1707	20	1	1779	Physician and botanist	http://www.isaran.ru/?q=ru/persostav	________ ____ ________	11.09.1903	17.12.1989	_____-________
Buffon Georges-Louis Leclerc de, Earl (Buffon, Georges Louis Leclerc, comte, de)	7	9	1707	16	4	1788	Naturalist	http://www.isaran.ru/?q=ru/persostav	______ _________ _________	09.11.1933		__________ _ _______ _____________
Carl Linnaeus	23	5	1707	10	1	1778	Naturalist, botanist	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	01.01.1941		__________ _ _______ ____________, ___________ _ ______________ ___________ _________.
Lyon Pierre	22	7	1707	10	1	1789	Lawyer	http://www.isaran.ru/?q=ru/persostav	________ _____ _________	04.03.1904	08.12.1970	_____
Sir John Pringle, Baronet	10	4	1707	18	1	1782	Medic	http://www.isaran.ru/?q=ru/persostav	_________ _____ _________	24.06.1908	25.02.1978	_____
Riccati Vincenzo de	11	1	1707	17	1	1775	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ________ __________	17.04.1945		__________ _ _______ _________ _ ______ ___________
Leonard Euler (Euler Leonhard)	4	4	1707	7	9	1783	Mathematician, engineer, physicist	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	11.10.1936	27.10.2006	__________ _ _______ _____________ _____________, ____________ _ _____________ ________
Albrecht von Haller, Baron	16	10	1708	12	12	1777	Naturalist, physician, poet	http://www.isaran.ru/?q=ru/persostav	_______ _____ ________	15.03.1930		__________ _ _______ ______ _______________, _________________ _ _________ ___________
Adadurov (Adodurov) Vasily Antonovich	15	3	1709	5	11	1780	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ______ ____________	06.07.1937		__________ _ _______ _________ _______ _ _________________ ______, ______________ _________ ___________ __________
Wallerius Johann Gottschalk (Wallerius, Johan Gottschalk)	11	7	1709	16	11	1785	Chemist, metallurgist and pharmacist	http://www.isaran.ru/?q=ru/persostav	______ ______ ________	08.11.1957		__________ _ _______ __________ ______________
Geynzius Gottfried (Heinsius Gottfried)	27	4	1709	21	5	1769	Astronomer	http://www.isaran.ru/?q=ru/persostav	________ ____ (Alberts Bruce)	14.04.1938		________, ____________ ______, __________ _ _______ ____________ ________ __________, ___________ _ __________ ________ ___ _______ ______
Johann Gesner	28	3	1709	6	5	1790	Mathematician and physicist	http://www.isaran.ru/?q=ru/persostav	________ (____) _______ _______	24.02.1697	09.09.1770	______
Johann Georg Gmelin (Gmelin Johann Georg)	12	8	1709	23	5	1755	Naturalist, chemist	http://www.isaran.ru/?q=ru/persostav	________ _________ ______ (Wilhelm Theodor Ahlwardt)	04.07.1828	02.11.1909	__________-_______
Zanotti (Tsanotti) Eustaquio	27	11	1709	15	5	1782	Astronomer	http://www.isaran.ru/?q=ru/persostav	______ (_______) ______ ____ _____ (____. Hannes Olof Gösta Alfvén)	30.05.1908	01.08.1995	__________ _ _______ ___________, _____, __________
Andreas Sigismund Marggraf	3	3	1709	7	8	1782	Chemist	http://www.isaran.ru/?q=ru/persostav	________ (_______) ____ ______ ___________ (____. Karl August Engelbrekt Ahlqvist)	07.08.1826	20.11.1889	________, _______ (__________ __ ________ _____ _ __________)
Steller (Steller) Georg Wilhelm (Steller Georg Wilhelm)	10	3	1709	12	11	1746	Naturalist, traveler	http://www.isaran.ru/?q=ru/persostav	_______ ____ _________	15.07.1930	16.02.2011	__________ _ _______ __________ _____ _ _______________
Theodore Tronchin	24	5	1709	30	11	1781	Medic	http://www.isaran.ru/?q=ru/persostav	_________ _____ _____________	24.09.1911	24.01.1983	__________ _ _______ _________ __________________ _ ______ ______________
Staehelin Yaakov (Jacob) Ya (Stahlin Jacob)	10	5	1709	25	6	1785	Art critic, printmaker	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________ (___. Lars Valerian Ahlfors)	18.04.1907	11.10.1996	_________, __________ _ _______ ____________ _______
Kondoidi Paul Z.	24	6	1710	30	8	1760	Medic	http://www.isaran.ru/?q=ru/persostav	_______ _______ (____. Edoardo Amaldi)	05.09.1908	05.12.1989	_____
Migind Francis (Mygind Franciscus)	1	7	1710	6	4	1789	Chemist	http://www.isaran.ru/?q=ru/persostav	_____ ______ (____. Michele Amari)	07.07.1806	16.07.1889	_______, __________-_______
Paul Heinrich Gerhard Möhring	21	7	1710	28	10	1792	Physician, botanist, zoologist	http://www.isaran.ru/?q=ru/persostav	__________ ______ ___________	18.09.1908	12.08.1996	__________ _ _______ _____________ __________ _ ________ __________
Sokolov Adrian	1	7	1710	29	1	1785	Naturalist, physicist, chemist, traveler	http://www.isaran.ru/?q=ru/persostav	__________ _____ _________	10.09.1911	22.11.1971	__________ _ _______ ______________ _ ________ ________
Boskovic or Josip Boskovic Rougerie or Ruggero Giuseppe	18	5	1711	13	2	1787	Natural philosopher, mathematician, astronomer, optician	http://www.isaran.ru/?q=ru/persostav	__________ ______ _____________	17.03.1922		_______, __________ _ _______ ________ ______________ ________ ____, ______ _______________________ ______ ___
Stepan Petrovich Krasheninnikov	31	10	1711	25	2	1755	Naturalist, traveler	http://www.isaran.ru/?q=ru/persostav	_________ _______ __________	18.06.1940		__________ _ _______ ____________ _______________ _____- _ ___________ ___ _______ _____________
Mikhail Vasilyevich Lomonosov	8	11	1711	4	4	1765	Physicist, chemist, astronomer, an expert in the field of mining, geographer, historian, philologist, poet	http://www.isaran.ru/?q=ru/persostav	____________ _____ ________	07.04.1899	09.01.1975	_______ ___________ _ _________ _________
Model Johann Georg	8	2	1711	22	3	1775	Chemist, pharmacologist	http://www.isaran.ru/?q=ru/persostav	___________ ___ _______ ____	22.12.1900	16.10.1962	______
Richman Georg Wilhelm (Richmann Georg Wilhelm)	11	7	1711	26	7	1753	Physicist	http://www.isaran.ru/?q=ru/persostav	_________ _________ ___________	22.04.1907	21.05.1986	__________ _ _______ ______ _______________
Form Johann Heinrich Samuel (Jean-Henri-Samuel)	13	5	1711	8	3	1797	Philosopher	http://www.isaran.ru/?q=ru/persostav	_________ _____ ___________	29.12.1949		__________ _ _______ ___________ __________ _ __________ _______ ______, _______ _ ________ _______
Joseph Adam Brown (Osip Ivanovich) (Braun Josef Adam)	30	6	1712	22	9	1768	Physicist and meteorologist	http://www.isaran.ru/?q=ru/persostav	_____ ______ (Amman Johann)	22.12.1707	04.12.1741	_______, _____
Rychkov Petro	1	10	1712	15	10	1777	Historian, economist and geographer	http://www.isaran.ru/?q=ru/persostav	_____ _____-____ (__. Andre-Marie Ampère)	20.01.1775	10.06.1836	_____ _ _________
Teplov N. Gregory	20	11	1712	30	3	1779	Writer, botanist	http://www.isaran.ru/?q=ru/persostav	___________ _____ __________ (__________ _______)	17.04.1779	21.12.1857	________
Frederick II the Great, King (Friedrich II., Friedrich der Große)	24	1	1712	17	8	1786	Writer	http://www.isaran.ru/?q=ru/persostav	___________ ____ __________ (___________ _______)	15.10.1815	08.11.1879	________
Bram (Bram) Johann Friedrich (Brehm or Brehme Johann Friedrich)	24	3	1713	31	1	1775	Historian and librarian	http://www.isaran.ru/?q=ru/persostav	________ ________ ________	18.04.1975		__________ _ _______ __________ ____________ _____ _ ___________ ___________________ ________
