Seat;Full Name;Title;Start Year;End Year;Profession;VIAF id;VIAF URL;Wikipedia URL;Full Name Wikipage;Notes
1;Charles de Freycinet;;1890;1923;politician and physicist;71491799;http://viaf.org/viaf/71491799;http://en.wikipedia.org/wiki/Charles_de_Freycinet;Charles_de_Freycinet;
1;Charles ƒmile Picard;;1924;1941;mathematician;64010393;http://viaf.org/viaf/64010393;http://en.wikipedia.org/wiki/Charles_%C3%89mile_Picard;Charles_ƒmile_Picard;
1;Louis de Broglie;;1944;1987;physicist and mathematician;4927396;http://viaf.org/viaf/4927396;http://en.wikipedia.org/wiki/Louis_de_Broglie;Louis_de_Broglie;
1;Michel DebrŽ;;1988;1996;politician;56608238;http://viaf.org/viaf/56608238;http://en.wikipedia.org/wiki/Michel_Debr%C3%A9;Michel_DebrŽ;
1;Franois Furet;;1997;;historian;108782913;http://viaf.org/viaf/108782913;http://en.wikipedia.org/wiki/Fran%C3%A7ois_Furet;Franois_Furet;
1;RenŽ RŽmond;;1998;2007;historian;64010941;http://viaf.org/viaf/64010941;http://en.wikipedia.org/wiki/Ren%C3%A9_R%C3%A9mond;RenŽ_RŽmond;
1;Claude Dagens;;2008;;bishop;61544341;http://viaf.org/viaf/61544341;http://en.wikipedia.org/wiki/Claude_Dagens;Claude_Dagens;
2;Valentin Conrart;;1634;1675;poet and grammarian;36916524;http://viaf.org/viaf/36916524;http://en.wikipedia.org/wiki/Valentin_Conrart;Valentin_Conrart;
2;Toussaint Rose;;1675;1701;orator;12297403;http://viaf.org/viaf/12297403;http://en.wikipedia.org/wiki/Toussaint_Rose;Toussaint_Rose;
2;Louis de Sacy;;1701;1727;lawyer;71448962;http://viaf.org/viaf/71448962;http://en.wikipedia.org/wiki/Louis_de_Sacy;Louis_de_Sacy;
2;Charles de Secondat;baron de Montesquieu;1728;1755;magistrate and philosopher;27069096;http://viaf.org/viaf/27069096;http://en.wikipedia.org/wiki/Montesquieu;Montesquieu;
2;Jean-Baptiste Vivien de Ch‰teaubrun;;1755;1775;poet and playwright;120732351;http://viaf.org/viaf/120732351;http://en.wikipedia.org/wiki/Jean-Baptiste_Vivien_de_Ch%C3%A2teaubrun;Jean-Baptiste_Vivien_de_Ch‰teaubrun;
2;Franois-Jean de Chastellux;;1775;1788;musician;99483029;http://viaf.org/viaf/99483029;http://en.wikipedia.org/wiki/Fran%C3%A7ois-Jean_de_Chastellux;Franois-Jean_de_Chastellux;
2;Aimar-Charles-Marie de Nicola•;;1788;1794;magistrate;44442981;http://viaf.org/viaf/44442981;http://en.wikipedia.org/wiki/Aimar-Charles-Marie_de_Nicola%C3%AF;Aimar-Charles-Marie_de_Nicola•;
2;Franois de Neufch‰teau;;1803;1828;politician and philologist;61545943;http://viaf.org/viaf/61545943;http://en.wikipedia.org/wiki/Fran%C3%A7ois_de_Neufch%C3%A2teau;Franois_de_Neufch‰teau;
2;Pierre-Antoine Lebrun;;1828;1873;politician and poet;9924445;http://viaf.org/viaf/9924445;http://en.wikipedia.org/wiki/Pierre-Antoine_Lebrun;Pierre-Antoine_Lebrun;
2;Alexandre Dumas;fils;1874;1895;playwright and novelist;76315034;http://viaf.org/viaf/76315034;http://en.wikipedia.org/wiki/Alexandre_Dumas,_fils;Alexandre_Dumas,_fils;
2;AndrŽ Theuriet;;1896;1907;novelist and poet;14777319;http://viaf.org/viaf/14777319;http://en.wikipedia.org/wiki/Andr%C3%A9_Theuriet;AndrŽ_Theuriet;
2;Jean Richepin;;1908;1926;poet and novelist;64087745;http://viaf.org/viaf/64087745;http://en.wikipedia.org/wiki/Jean_Richepin;Jean_Richepin;
2;ƒmile M‰le;;1927;1954;art historian;22145190;http://viaf.org/viaf/22145190;http://en.wikipedia.org/wiki/%C3%89mile_M%C3%A2le;ƒmile_M‰le;
2;Franois Albert-Buisson;;1955;1961;magistrate and politician;71475895;http://viaf.org/viaf/71475895;http://en.wikipedia.org/wiki/Fran%C3%A7ois_Albert-Buisson;Franois_Albert-Buisson;
2;Marc Boegner;;1962;1970;ecclesiastic and theologian;76312343;http://viaf.org/viaf/76312343;http://en.wikipedia.org/wiki/Marc_Boegner;Marc_Boegner;
2;RenŽ de La Croix de Castries;;1972;1986;historian;39374787;http://viaf.org/viaf/39374787;http://en.wikipedia.org/wiki/Ren%C3%A9_de_La_Croix_de_Castries;RenŽ_de_La_Croix_de_Castries;
2;AndrŽ Frossard;;1987;1995;essayist and journalist;29534076;http://viaf.org/viaf/29534076;http://en.wikipedia.org/wiki/Andr%C3%A9_Frossard;AndrŽ_Frossard;
2;Hector Bianciotti;;1996;2012;novelist;7386943;http://viaf.org/viaf/7386943;http://en.wikipedia.org/wiki/Hector_Bianciotti;Hector_Bianciotti;
3;Jacques de Serisay;;1634;1653;poet;;;http://en.wikipedia.org/wiki/Jacques_de_Serisay;Jacques_de_Serisay;
3;Paul-Philippe de Chaumont;;1654;1697;ecclesiastic;17213096;http://viaf.org/viaf/17213096;http://en.wikipedia.org/wiki/Paul-Philippe_de_Chaumont;Paul-Philippe_de_Chaumont;
3;Louis Cousin;;1697;1707;historian and journalist;12367359;http://viaf.org/viaf/12367359;http://en.wikipedia.org/wiki/Louis_Cousin;Louis_Cousin;
3;Jacques-Louis de Valon;marquis de Mimeure;1707;1719;poet and translator;14761318;http://viaf.org/viaf/14761318;http://en.wikipedia.org/wiki/Jacques-Louis_de_Valon;Jacques-Louis_de_Valon;
3;Nicolas GŽdoyn;;1719;1744;ecclesiastic;51679561;http://viaf.org/viaf/51679561;http://en.wikipedia.org/wiki/Nicolas_G%C3%A9doyn;Nicolas_GŽdoyn;
3;Franois-Joachim de Pierre de Bernis;;1744;1794;ecclesiastic;68925438;http://viaf.org/viaf/68925438;http://en.wikipedia.org/wiki/Fran%C3%A7ois-Joachim_de_Pierre_de_Bernis;Franois-Joachim_de_Pierre_de_Bernis;
3;Roch-Ambroise Cucurron Sicard;;1803;1822;ecclesiastic and grammarian;56651011;http://viaf.org/viaf/56651011;http://en.wikipedia.org/wiki/Roch-Ambroise_Cucurron_Sicard;Roch-Ambroise_Cucurron_Sicard;
3;Denis-Luc Frayssinous;;1822;1841;ecclesiastic;71485248;http://viaf.org/viaf/71485248;http://en.wikipedia.org/wiki/Denis-Luc_Frayssinous;Denis-Luc_Frayssinous;
3;ƒtienne-Denis Pasquier;;1842;1862;politician;7439479;http://viaf.org/viaf/7439479;http://en.wikipedia.org/wiki/%C3%89tienne-Denis_Pasquier;ƒtienne-Denis_Pasquier;
3;Jules Armand Dufaure;;1863;1881;politician and lawyer;54280021;http://viaf.org/viaf/54280021;http://en.wikipedia.org/wiki/Jules_Armand_Dufaure;Jules_Armand_Dufaure;
3;Victor Cherbuliez;;1881;1899;novelist and playwright;8916;http://viaf.org/viaf/8916;http://en.wikipedia.org/wiki/Victor_Cherbuliez;Victor_Cherbuliez;
3;ƒmile Faguet;;1900;1916;literary critic and historian;66466979;http://viaf.org/viaf/66466979;http://en.wikipedia.org/wiki/%C3%89mile_Faguet;ƒmile_Faguet;
3;Georges Clemenceau;;1918;1929;politician and doctor;49223492;http://viaf.org/viaf/49223492;http://en.wikipedia.org/wiki/Georges_Clemenceau;Georges_Clemenceau;
3;AndrŽ Chaumeix;;1930;1955;journalist and critic;44380136;http://viaf.org/viaf/44380136;http://en.wikipedia.org/wiki/Andr%C3%A9_Chaumeix;AndrŽ_Chaumeix;
3;JŽr™me Carcopino;;1955;1970;historian and archaeologist;54145365;http://viaf.org/viaf/54145365;http://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Carcopino;JŽr™me_Carcopino;
3;Roger Caillois;;1971;1978;essayist and sociologist;92201126;http://viaf.org/viaf/92201126;http://en.wikipedia.org/wiki/Roger_Caillois;Roger_Caillois;
3;Marguerite Yourcenar;;1980;1987;novelist and essayist;105154898;http://viaf.org/viaf/105154898;http://en.wikipedia.org/wiki/Marguerite_Yourcenar;Marguerite_Yourcenar;
3;Jean-Denis Bredin;;1989;;magistrate and essayist;8182;http://viaf.org/viaf/8182;http://en.wikipedia.org/wiki/Jean-Denis_Bredin;Jean-Denis_Bredin;
4;Jean Desmarets;;1634;1676;poet and novelist;7415472;http://viaf.org/viaf/7415472;http://en.wikipedia.org/wiki/Jean_Desmarets;Jean_Desmarets;
4;Jean-Jacques de Mesmes;;1676;1688;magistrate;76306015;http://viaf.org/viaf/76306015;http://en.wikipedia.org/wiki/Jean-Jacques_de_Mesmes;Jean-Jacques_de_Mesmes;
4;Jean Testu de Mauroy;;1688;1706;ecclesiastic;;;http://en.wikipedia.org/wiki/Jean_Testu_de_Mauroy;Jean_Testu_de_Mauroy;
4;Camille le Tellier de Louvois;;1706;1718;ecclesiastic;12299266;http://viaf.org/viaf/12299266;http://en.wikipedia.org/wiki/Camille_le_Tellier_de_Louvois;Camille_le_Tellier_de_Louvois;
4;Jean Baptiste Massillon;;1718;1742;ecclesiastic;120690221;http://viaf.org/viaf/120690221;http://en.wikipedia.org/wiki/Jean_Baptiste_Massillon;Jean_Baptiste_Massillon;
4;Louis Jules Mancini Mazarini;Duc de Nivernais;1742;1798;politician and poet;9979313;http://viaf.org/viaf/9979313;http://en.wikipedia.org/wiki/Louis_Jules_Mancini_Mazarini;Louis_Jules_Mancini_Mazarini;
4;Gabriel-Marie LegouvŽ;;1803;1812;poet;22144686;http://viaf.org/viaf/22144686;http://en.wikipedia.org/wiki/Gabriel-Marie_Legouv%C3%A9;Gabriel-Marie_LegouvŽ;
4;Alexandre-Vincent Pineux Duval;;1812;1842;poet and playwright;100176929;http://viaf.org/viaf/100176929;http://en.wikipedia.org/wiki/Alexandre-Vincent_Pineux_Duval;Alexandre-Vincent_Pineux_Duval;
4;Pierre-Simon Ballanche;;1842;1847;philosopher;27142944;http://viaf.org/viaf/27142944;http://en.wikipedia.org/wiki/Pierre-Simon_Ballanche;Pierre-Simon_Ballanche;
4;Jean Vatout;;1848;;poet;64000561;http://viaf.org/viaf/64000561;http://en.wikipedia.org/wiki/Jean_Vatout;Jean_Vatout;
4;Alexis Guignard;comte de Saint-Priest;1849;1851;politician and historian;10026692;http://viaf.org/viaf/10026692;http://en.wikipedia.org/wiki/Alexis_Guignard,_comte_de_Saint-Priest;Alexis_Guignard,_comte_de_Saint-Priest;
4;Antoine Pierre Berryer;;1852;1868;lawyer;71464461;http://viaf.org/viaf/71464461;http://en.wikipedia.org/wiki/Antoine_Pierre_Berryer;Antoine_Pierre_Berryer;
4;Franois-Joseph de Champagny;;1869;1882;historian;;;http://en.wikipedia.org/wiki/Fran%C3%A7ois-Joseph_de_Champagny;Franois-Joseph_de_Champagny;
4;Charles de Mazade;;1882;1893;poet and critic;101686346;http://viaf.org/viaf/101686346;http://en.wikipedia.org/wiki/Charles_de_Mazade;Charles_de_Mazade;
4;JosŽ-Maria de Heredia;;1894;1905;poet;95187284;http://viaf.org/viaf/95187284;http://en.wikipedia.org/wiki/Jos%C3%A9-Maria_de_Heredia;JosŽ-Maria_de_Heredia;
4;Maurice Barrs;;1906;1923;novelist and politician;66463260;http://viaf.org/viaf/66463260;http://en.wikipedia.org/wiki/Maurice_Barr%C3%A8s;Maurice_Barrs;
4;Louis Bertrand;;1925;1941;novelist and historian;51699479;http://viaf.org/viaf/51699479;http://en.wikipedia.org/wiki/Louis_Bertrand_(novelist);Louis_Bertrand_(novelist);
4;Jean Tharaud;;1946;1952;novelist;68936385;http://viaf.org/viaf/68936385;http://en.wikipedia.org/wiki/Jean_Tharaud;Jean_Tharaud;
4;Alphonse Juin;;1952;1967;soldier;49251788;http://viaf.org/viaf/49251788;http://en.wikipedia.org/wiki/Alphonse_Juin;Alphonse_Juin;
4;Pierre Emmanuel;;1968;1984;poet;36913028;http://viaf.org/viaf/36913028;http://en.wikipedia.org/wiki/Pierre_Emmanuel;Pierre_Emmanuel;
4;Jean Hamburger;;1985;1992;doctor and essayist;194264373;http://viaf.org/viaf/194264373;http://en.wikipedia.org/wiki/Jean_Hamburger;Jean_Hamburger;
4;Albert Decourtray;;1993;1994;ecclesiastic;31995261;http://viaf.org/viaf/31995261;http://en.wikipedia.org/wiki/Albert_Decourtray;Albert_Decourtray;
4;Jean-Marie Lustiger;;1995;2007;ecclesiastic;39380557;http://viaf.org/viaf/39380557;http://en.wikipedia.org/wiki/Jean-Marie_Lustiger;Jean-Marie_Lustiger;
4;Jean-Luc Marion;;2008;;philosopher and academic;108620041;http://viaf.org/viaf/108620041;http://en.wikipedia.org/wiki/Jean-Luc_Marion;Jean-Luc_Marion;
5;Jean Ogier de Gombauld;;1634;1666;poet and playwright;59182327;http://viaf.org/viaf/59182327;http://en.wikipedia.org/wiki/Jean_Ogier_de_Gombauld;Jean_Ogier_de_Gombauld;
5;Paul Tallement le Jeune;;1666;1712;ecclesiastic;;;http://en.wikipedia.org/wiki/Paul_Tallement_the_Younger;Paul_Tallement_the_Younger;
5;Antoine Danchet;;1712;1748;playwright and poet;49234544;http://viaf.org/viaf/49234544;http://en.wikipedia.org/wiki/Antoine_Danchet;Antoine_Danchet;
5;Jean-Baptiste-Louis Gresset;;1748;1777;playwright;41861940;http://viaf.org/viaf/41861940;http://en.wikipedia.org/wiki/Jean-Baptiste-Louis_Gresset;Jean-Baptiste-Louis_Gresset;
5;Claude-Franois-Xavier Millot;;1777;1785;ecclesiastic;22182699;http://viaf.org/viaf/22182699;http://en.wikipedia.org/wiki/Claude-Fran%C3%A7ois-Xavier_Millot;Claude-Franois-Xavier_Millot;
5;AndrŽ Morellet;;1785;1819;ecclesiastic;120700230;http://viaf.org/viaf/120700230;http://en.wikipedia.org/wiki/Andr%C3%A9_Morellet;AndrŽ_Morellet;
5;Pierre-ƒdouard LŽmontey;;1819;1826;politician and lawyer;49257739;http://viaf.org/viaf/49257739;http://en.wikipedia.org/wiki/Pierre-%C3%89douard_L%C3%A9montey;Pierre-ƒdouard_LŽmontey;
5;Joseph Fourier;;1826;1830;mathematician and physicist;24601470;http://viaf.org/viaf/24601470;http://en.wikipedia.org/wiki/Joseph_Fourier;Joseph_Fourier;
5;Victor Cousin;;1830;1867;politician and philosopher;61544271;http://viaf.org/viaf/61544271;http://en.wikipedia.org/wiki/Victor_Cousin;Victor_Cousin;
5;Jules Favre;;1867;1880;politician and lawyer;56609593;http://viaf.org/viaf/56609593;http://en.wikipedia.org/wiki/Jules_Favre;Jules_Favre;
5;Edmond Rousse;;1880;1906;lawyer;39475149;http://viaf.org/viaf/39475149;http://en.wikipedia.org/wiki/Edmond_Rousse;Edmond_Rousse;
5;Pierre de SŽgur;;1907;1916;historian;230839860;http://viaf.org/viaf/230839860;http://en.wikipedia.org/wiki/Pierre_de_S%C3%A9gur;Pierre_de_SŽgur;
5;Robert de Flers;;1920;1927;playwright and journalist;17222549;http://viaf.org/viaf/17222549;http://en.wikipedia.org/wiki/Robert_de_Flers;Robert_de_Flers;
5;Louis Madelin;;1927;1956;historian;34459861;http://viaf.org/viaf/34459861;http://en.wikipedia.org/wiki/Louis_Madelin;Louis_Madelin;
5;Robert Kemp;;1956;1959;literary and dramatic critic;46871678;http://viaf.org/viaf/46871678;http://en.wikipedia.org/wiki/Robert_Kemp_(literary_critic);Robert_Kemp_(literary_critic);
5;RenŽ Huyghe;;1960;1997;art historian and essayist;7391755;http://viaf.org/viaf/7391755;http://en.wikipedia.org/wiki/Ren%C3%A9_Huyghe;RenŽ_Huyghe;
5;Georges Vedel;;1998;2002;magistrate;14777841;http://viaf.org/viaf/14777841;http://en.wikipedia.org/wiki/Georges_Vedel;Georges_Vedel;
5;Assia Djebar;;2005;;author;85335802;http://viaf.org/viaf/85335802;http://en.wikipedia.org/wiki/Assia_Djebar;Assia_Djebar;
6;Franois le MŽtel de Boisrobert;;1634;1662;ecclesiastic and poet;29565090;http://viaf.org/viaf/29565090;http://en.wikipedia.org/wiki/Fran%C3%A7ois_le_M%C3%A9tel_de_Boisrobert;Franois_le_MŽtel_de_Boisrobert;
6;Jean Regnault de Segrais;;1662;1701;poet and novelist;64803709;http://viaf.org/viaf/64803709;http://en.wikipedia.org/wiki/Jean_Regnault_de_Segrais;Jean_Regnault_de_Segrais;
6;Jean Galbert de Campistron;;1701;1723;playwright;56619533;http://viaf.org/viaf/56619533;http://en.wikipedia.org/wiki/Jean_Galbert_de_Campistron;Jean_Galbert_de_Campistron;
6;Philippe NŽricault Destouches;;1723;1754;playwright and diplomat;9873492;http://viaf.org/viaf/9873492;http://en.wikipedia.org/wiki/Philippe_N%C3%A9ricault_Destouches;Philippe_NŽricault_Destouches;
6;Louis de Boissy;;1754;1758;poet;51711644;http://viaf.org/viaf/51711644;http://en.wikipedia.org/wiki/Louis_de_Boissy;Louis_de_Boissy;
6;Jean-Baptiste de La Curne de Sainte-Palaye;;1758;1781;archaeologist;2580200;http://viaf.org/viaf/2580200;http://en.wikipedia.org/wiki/Jean-Baptiste_de_La_Curne_de_Sainte-Palaye;Jean-Baptiste_de_La_Curne_de_Sainte-Palaye;
6;SŽbastien-Roch-Nicolas (Chamfort);;1781;1794;playwright and publisher;31994287;http://viaf.org/viaf/31994287;http://en.wikipedia.org/wiki/Nicolas_Chamfort;Nicolas_Chamfort;
6;Pierre Louis Roederer;;1803;1815;politician and lawyer;51716454;http://viaf.org/viaf/51716454;http://en.wikipedia.org/wiki/Pierre_Louis_Roederer;Pierre_Louis_Roederer;
6;Pierre Marc Gaston de LŽvis;Duke of LŽvis;1816;1830;politician;;;http://en.wikipedia.org/wiki/Pierre_Marc_Gaston_de_L%C3%A9vis,_Duke_of_L%C3%A9vis;Pierre_Marc_Gaston_de_LŽvis,_Duke_of_LŽvis;
6;Philippe Paul;comte de SŽgur;1830;1873;diplomat and historian;68968324;http://viaf.org/viaf/68968324;http://en.wikipedia.org/wiki/Philippe_Paul,_comte_de_S%C3%A9gur;Philippe_Paul,_comte_de_SŽgur;
6;Charles de Viel-Castel;;1873;1887;diplomat;;;http://en.wikipedia.org/wiki/Charles_de_Viel-Castel;Charles_de_Viel-Castel;
6;Edmond Jurien de La Gravire;;1888;1892;admiral;;;http://en.wikipedia.org/wiki/Edmond_Jurien_de_La_Gravi%C3%A8re;Edmond_Jurien_de_La_Gravire;
6;Ernest Lavisse;;1892;1922;historian;7392798;http://viaf.org/viaf/7392798;http://en.wikipedia.org/wiki/Ernest_Lavisse;Ernest_Lavisse;
6;Georges de Porto-Riche;;1923;1930;playwright and poet;22183540;http://viaf.org/viaf/22183540;http://en.wikipedia.org/wiki/Georges_de_Porto-Riche;Georges_de_Porto-Riche;
6;Pierre Beno”t;;1931;1962;novelist;41850094;http://viaf.org/viaf/41850094;http://en.wikipedia.org/wiki/Pierre_Beno%C3%AEt_(novelist);Pierre_Beno”t_(novelist);
6;Jean Paulhan;;1963;1968;literary and art critic;12313345;http://viaf.org/viaf/12313345;http://en.wikipedia.org/wiki/Jean_Paulhan;Jean_Paulhan;
6;Eugne Ionesco;;1970;1994;playwright;17224288;http://viaf.org/viaf/17224288;http://en.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco;Eugne_Ionesco;
6;Marc Fumaroli;;1995;;historian and essayist;76315742;http://viaf.org/viaf/76315742;http://en.wikipedia.org/wiki/Marc_Fumaroli;Marc_Fumaroli;
7;Jean Chapelain;;1634;1674;royal advisor;94902;http://viaf.org/viaf/94902;http://en.wikipedia.org/wiki/Jean_Chapelain;Jean_Chapelain;
7;Isaac de Benserade;;1674;1691;poet and playwright;2466353;http://viaf.org/viaf/2466353;http://en.wikipedia.org/wiki/Isaac_de_Benserade;Isaac_de_Benserade;
7;ƒtienne Pavillon;;1691;1705;lawyer and poet;2611802;http://viaf.org/viaf/2611802;http://en.wikipedia.org/wiki/%C3%89tienne_Pavillon;ƒtienne_Pavillon;
7;Fabio Brulart de Sillery;;1705;1714;ecclesiastic and poet;7483769;http://viaf.org/viaf/7483769;http://en.wikipedia.org/wiki/Fabio_Brulart_de_Sillery;Fabio_Brulart_de_Sillery;
7;Henri-Jacques de Caumont;duc de La Force;1715;1726;economist;;;http://en.wikipedia.org/wiki/Henri-Jacques_de_Caumont,_duc_de_La_Force;Henri-Jacques_de_Caumont,_duc_de_La_Force;
7;Jean-Baptiste de Mirabaud;;1726;1760;translator;54151582;http://viaf.org/viaf/54151582;http://en.wikipedia.org/wiki/Jean-Baptiste_de_Mirabaud;Jean-Baptiste_de_Mirabaud;
7;Claude-Henri Watelet;;1760;1786;painter;66565253;http://viaf.org/viaf/66565253;http://en.wikipedia.org/wiki/Claude-Henri_Watelet;Claude-Henri_Watelet;
7;Michel-Jean Sedaine;;1786;1793;poet and playwright;73863522;http://viaf.org/viaf/73863522;http://en.wikipedia.org/wiki/Michel-Jean_Sedaine;Michel-Jean_Sedaine;
7;Jean-Franois Collin d'Harleville;;1803;1806;playwright and poet;;;http://en.wikipedia.org/wiki/Collin_d%27Harleville;Collin_d'Harleville;
7;Pierre Daru;;1806;1829;politician and historian;34544777;http://viaf.org/viaf/34544777;http://en.wikipedia.org/wiki/Pierre_Antoine_No%C3%ABl_Bruno,_comte_Daru;Pierre_Antoine_No‘l_Bruno,_comte_Daru;
7;Alphonse de Lamartine;;1829;1869;politician and poet;95150108;http://viaf.org/viaf/95150108;http://en.wikipedia.org/wiki/Alphonse_de_Lamartine;Alphonse_de_Lamartine;
7;ƒmile Ollivier;;1870;1913;politician and lawyer;59093008;http://viaf.org/viaf/59093008;http://en.wikipedia.org/wiki/%C3%89mile_Ollivier;ƒmile_Ollivier;
7;Henri Bergson;;1914;1941;philosopher;61541730;http://viaf.org/viaf/61541730;http://en.wikipedia.org/wiki/Henri_Bergson;Henri_Bergson;
7;ƒdouard Le Roy;;1945;1954;philosopher and mathematician;76393493;http://viaf.org/viaf/76393493;http://en.wikipedia.org/wiki/%C3%89douard_Le_Roy;ƒdouard_Le_Roy;
7;Henri Petiot (Daniel-Rops);;1955;1965;poet and novelist;9814995;http://viaf.org/viaf/9814995;http://en.wikipedia.org/wiki/Daniel-Rops;Daniel-Rops;
7;Pierre-Henri Simon;;1966;1972;literary historian and novelist;29540777;http://viaf.org/viaf/29540777;http://en.wikipedia.org/wiki/Pierre-Henri_Simon;Pierre-Henri_Simon;
7;AndrŽ Roussin;;1973;1987;playwright;17229028;http://viaf.org/viaf/17229028;http://en.wikipedia.org/wiki/Andr%C3%A9_Roussin;AndrŽ_Roussin;
7;Jacqueline de Romilly;;1988;2010;philologist and essayist;46766764;http://viaf.org/viaf/46766764;http://en.wikipedia.org/wiki/Jacqueline_de_Romilly;Jacqueline_de_Romilly;
7;Jules Hoffmann;;2012;;biologist;108140524;http://viaf.org/viaf/108140524;http://en.wikipedia.org/wiki/Jules_A._Hoffmann;Jules_A._Hoffmann;
8;Claude de Malleville;;1634;1647;poet;44643463;http://viaf.org/viaf/44643463;http://en.wikipedia.org/wiki/Claude_de_Malleville;Claude_de_Malleville;
8;Jean Ballesdens;;1648;1675;lawyer;22260726;http://viaf.org/viaf/22260726;http://en.wikipedia.org/wiki/Jean_Ballesdens;Jean_Ballesdens;
8;GŽraud de Cordemoy;;1675;1684;philosopher and historian;17264066;http://viaf.org/viaf/17264066;http://en.wikipedia.org/wiki/G%C3%A9raud_de_Cordemoy;GŽraud_de_Cordemoy;
8;Jean-Louis Bergeret;;1684;1694;lawyer;73843537;http://viaf.org/viaf/73843537;http://en.wikipedia.org/wiki/Jean-Louis_Bergeret;Jean-Louis_Bergeret;
8;Charles-IrŽnŽe Castel de Saint-Pierre;;1694;1743;ecclesiastic;22201759;http://viaf.org/viaf/22201759;http://en.wikipedia.org/wiki/Charles-Ir%C3%A9n%C3%A9e_Castel_de_Saint-Pierre;Charles-IrŽnŽe_Castel_de_Saint-Pierre;
8;Pierre Louis Maupertuis;;1743;1759;astronomer;95152459;http://viaf.org/viaf/95152459;http://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis;Pierre_Louis_Maupertuis;
8;Jean-Jacques Lefranc;Marquis de Pompignan;1759;1784;magistrate and economist;39398799;http://viaf.org/viaf/39398799;http://en.wikipedia.org/wiki/Jean-Jacques_Lefranc,_Marquis_de_Pompignan;Jean-Jacques_Lefranc,_Marquis_de_Pompignan;
8;Jean-Sifrein Maury;;1784;1793;ecclesiastic and politician;34475151;http://viaf.org/viaf/34475151;http://en.wikipedia.org/wiki/Jean-Sifrein_Maury;Jean-Sifrein_Maury;See also seat 15
8;Michel-Louis-ƒtienne Regnaud de Saint-Jean d'AngŽly;;1803;1814;politician and lawyer;100331232;http://viaf.org/viaf/100331232;http://en.wikipedia.org/wiki/Michel-Louis-%C3%89tienne_Regnaud_de_Saint-Jean_d%27Ang%C3%A9ly;Michel-Louis-ƒtienne_Regnaud_de_Saint-Jean_d'AngŽly;
8;Pierre-Simon Laplace;;1816;1827;politician and mathematician;4932158;http://viaf.org/viaf/4932158;http://en.wikipedia.org/wiki/Pierre-Simon_Laplace;Pierre-Simon_Laplace;
